ridded 1 6 rid
rids 1 9 rid
ridding 3 10 rid

scud 1 1 scudded scuds scudding
scudded 1 6 scud
scuds 1 9 scud
scudding 3 10 scud

shred 1 1 shredded shreds shredding
shredded 1 6 shred
shreds 1 9 shred
shredding 3 10 shred

skid 1 1 skidded skids skidding
skidded 1 6 skid
skids 1 9 skid
skidding 3 10 skid

sled 1 1 sledded sleds sledding
sledded 1 6 sled
sleds 1 9 sled
sledding 3 10 sled

sod 1 1 sodded sods sodding
sodded 1 6 sod
sods 1 9 sod
sodding 3 10 sod

speed 1 1 sped speeds speeding
sped 1 6 speed
speeds 1 9 speed
speeding 3 10 speed

spellbind 1 1 spellbound spellbinds spellbinding
spellbound 1 6 spellbind
spellbinds 1 9 spellbind
spellbinding 3 10 spellbind

spoonfeed 1 1 spoonfed spoonfeeds spoonfeeding
spoonfed 1 6 spoonfeed
spoonfeeds 1 9 spoonfeed
spoonfeeding 3 10 spoonfeed

stud 1 1 studded studs studding
studded 1 6 stud
studs 1 9 stud
studding 3 10 stud

thud 1 1 thudded thuds thudding
thudded 1 6 thud
thuds 1 9 thud
thudding 3 10 thud

tread 1 2 trod tread trodden treaded treads treading
trod 1 2 tread
trodden 1 4 tread
treaded 1 6 tread
treads 1 9 tread
treading 3 10 tread

unbend 1 1 unbent unbends unbending
unbent 1 6 unbend
unbends 1 9 unbend
unbending 3 10 unbend

unbind 1 1 unbound unbinds unbinding
unbound 1 6 unbind
unbinds 1 9 unbind
unbinding 3 10 unbind

underbid 1 7 underbids underbidding
underbids 1 9 underbid
underbidding 3 10 underbid

underspend 1 1 underspent underspends underspending
underspent 1 6 underspend
underspends 1 9 underspend
underspending 3 10 underspend

unwind 1 1 unwound unwounds unwinding
unwound 1 6 unwind
unwounds 1 9 unwind
unwinding 3 10 unwind

uphold 1 1 upheld upholds upholding
upheld 1 6 uphold
upholds 1 9 uphold
upholding 3 10 uphold

wad 1 1 wadded wads wadding
wadded 1 6 wad
wads 1 9 wad
wadding 3 10 wad

wed 1 7 weds wedding
weds 1 9 wed
wedding 3 10 wed

withhold 1 1 withheld withholds withholding
withheld 1 6 withhold
withholds 1 9 withhold
withholding 3 10 withhold

withstand 1 1 withstood withstands withstanding
withstood 1 6 withstand
withstands 1 9 withstand
withstanding 3 10 withstand

bend 1 1 bent bends bending
bent 1 6 bend
bends 1 9 bend
bending 3 10 bend

bind 1 1 bound binds binding
bound 1 6 bind
binds 1 9 bind
binding 3 10 bind

bleed 1 1 bled bleeds bleeding
bled 1 6 bleed
bleeds 1 9 bleed
bleeding 3 10 bleed

breed 1 1 bred breeds breeding
bred 1 6 breed
breeds 1 9 breed
breeding 3 10 breed

build 1 1 built builds building
built 1 6 build
builds 1 9 build
building 3 10 build

feed 1 1 fed feeds feeding
fed 1 6 feed
feeds 1 9 feed
feeding 3 10 feed

find 1 1 found finds finding
found 1 6 find
finds 1 9 find
finding 3 10 find

forbid 1 3 forbade forbad forbidden forbids forbidding
forbidden 1 4 forbid
forbade 1 6 forbid
forbad  1 6 forbid
forbids 1 9 forbid
forbidding 3 10 forbid

grind 1 1 ground grinds grinding
ground 1 6 grind
grinds 1 9 grind
grinding 3 10 grind

hold 1 1 held holds holding
held 1 6 hold
holds 1 9 hold
holding 3 10 hold

lead 1 1 led leaded leads leading
leaded 1 6 lead
led 1 6 lead
leads 1 9 lead
leading 3 10 lead

lend 1 1 lent lends lending
lent 1 6 lend
lends 1 9 lend
lending 3 10 lend

read 1 7 reads reading
reads 1 9 read
reading 3 10 read

send 1 1 sent sends sending
sent 1 6 send
sends 1 9 send
sending 3 10 send

shed 1 7 sheds shedding
sheds 1 9 shed
shedding 3 10 shed

spend 1 1 spent spends spending
spent 1 6 spend
spends 1 9 spend
spending 3 10 spend

stand 1 1 stood stands standing
stood 1 6 stand
stands 1 9 stand
standing 3 10 stand

understand 1 1 understood understands understanding
understood 1 6 understand
understands 1 9 understand
understanding 3 10 understand

wind 1 1 wound winds winding
wound 1 6 wind
winds 1 9 wind
winding 3 10 wind

#
# Word ending to "E"
#  -d
#  -s
#  -e + -ing
#
# Rule specialities:
#  - If the sentence is like "We are skating"
#    First we check  if there is such word as "skating" -> no
#    Second we check if there is such word as "skat" -> no
#    Third we add "e" to end and check if there is such word as "skate" -> yes

# Säännöillä
abase 1 1
abate 1 1
abbreviate 1 1
abdicate 1 1
abjure 1 1
ablate 1 1
abnegate 1 1
abominate 1 1
abrade 1 1
abridge 1 1
abrogate 1 1
abscise 1 1
absolve 1 1
abuse 1 1
accede 1 1
accelerate 1 1
accentuate 1 1
acclimate 1 1
acclimatise 1 1
acclimatize 1 1
accommodate 1 1
accrete 1 1
accrue 1 1
acculturate 1 1
accumulate 1 1
accuse 1 1
acerbate 1 1
ace 1 1
acetylate 1 1
acetylize 1 1
ache 1 1
achieve 1 1
achromatize 1 1
acidulate 1 1
acknowledge 1 1
acquiesce 1 1
acquire 1 1
activate 1 1
actualise 1 1
actualize 1 1
actuate 1 1
acuminate 1 1
adhere 1 1
adjudicate 1 1
adjure 1 1
administrate 1 1
admire 1 1
adolesce 1 1
adore 1 1
adulate 1 1
adulterate 1 1
advance 1 1
advantage 1 1
adventure 1 1
advertise 1 1
advertize 1 1
advise 1 1
advocate 1 1
aerate 1 1
aerosolise 1 1
aerosolize 1 1
aestivate 1 1
affiliate 1 1
age 1 1
agglomerate 1 1
agglutinate 1 1
aggrade 1 1
aggrandise 1 1
aggrandize 1 1
aggravate 1 1
aggregate 1 1
agitate 1 1
agonise 1 1
agonize 1 1
alchemize 1 1
alcoholize 1 1
alienate 1 1
alkalize 1 1
allege 1 1
allegorise 1 1
allegorize 1 1
alleviate 1 1
alliterate 1 1
allocate 1 1
allowance 1 1
allude 1 1
allure 1 1
alphabetise 1 1
alphabetize 1 1
alternate 1 1
aluminise 1 1
aluminize 1 1
amalgamate 1 1
amaze 1 1
amble 1 1
ambulate 1 1
ambuscade 1 1
ameliorate 1 1
amerce 1 1
americanise 1 1
americanize 1 1
ammoniate 1 1
amortise 1 1
amortize 1 1
amputate 1 1
amuse 1 1
anaesthetise 1 1
anaesthetize 1 1
anagrammatise 1 1
anagrammatize 1 1
analogise 1 1
analogize 1 1
analyse 1 1
analyze 1 1
anathematise 1 1
anathematize 1 1
anatomise 1 1
anatomize 1 1
anesthetise 1 1
anesthetize 1 1
angle 1 1
anglicise 1 1
anglicize 1 1
angulate 1 1
animalise 1 1
animalize 1 1
animate 1 1
annihilate 1 1
annotate 1 1
announce 1 1
annunciate 1 1
antagonise 1 1
antagonize 1 1
antecede 1 1
anthologise 1 1
anthologize 1 1
anthropomorphise 1 1
anthropomorphize 1 1
anticipate 1 1
antiquate 1 1
antique 1 1
aphorise 1 1
aphorize 1 1
apologise 1 1
apologize 1 1
apostatise 1 1
apostatize 1 1
apostrophise 1 1
apostrophize 1 1
apotheosise 1 1
apotheosize 1 1
appease 1 1
apperceive 1 1
appose 1 1
appraise 1 1
appreciate 1 1
apprentice 1 1
apprise 1 1
approbate 1 1
appropriate 1 1
approve 1 1
approximate 1 1
aquaplane 1 1
arbitrage 1 1
arbitrate 1 1
arborise 1 1
arborize 1 1
archaise 1 1
archaize 1 1
archive 1 1
argue 1 1
aromatise 1 1
aromatize 1 1
arouse 1 1
arrange 1 1
arrive 1 1
arrogate 1 1
article 1 1
articulate 1 1
ascribe 1 1
asperse 1 1
asphyxiate 1 1
aspirate 1 1
aspire 1 1
assassinate 1 1
assemble 1 1
asseverate 1 1
assibilate 1 1
assimilate 1 1
associate 1 1
assonate 1 1
assuage 1 1
assume 1 1
assure 1 1
astringe 1 1
astrogate 1 1
atomise 1 1
atomize 1 1
atone 1 1
attenuate 1 1
attire 1 1
attitudinise 1 1
attitudinize 1 1
attribute 1 1
auscultate 1 1
auspicate 1 1
authenticate 1 1
authorise 1 1
authorize 1 1
autoclave 1 1
automate 1 1
automatise 1 1
automatize 1 1
automobile 1 1
autotomize 1 1
avalanche 1 1
avenge 1 1
average 1 1
aviate 1 1
avulse 1 1
awe 1 1
axe 1 1
azure 1 1
babble 1 1
backfire 1 1
backspace 1 1
backstroke 1 1
bacterise 1 1
bacterize 1 1
badge 1 1
baffle 1 1
bake 1 1
balance 1 1
bale 1 1
bandage 1 1
baptise 1 1
baptize 1 1
barbarise 1 1
barbarize 1 1
barbecue 1 1
barge 1 1
baronetize 1 1
barrage 1 1
barricade 1 1
base 1 1
bastardise 1 1
bastardize 1 1
baste 1 1
bathe 1 1
battle 1 1
be 1 1
beetle 1 1
befuddle 1 1
begrudge 1 1
beguile 1 1
behave 1 1
believe 1 1
bellyache 1 1
bemuse 1 1
benefice 1 1
beneficiate 1 1
besiege 1 1
bestialize 1 1
bicycle 1 1
bifurcate 1 1
bike 1 1
bilge 1 1
binge 1 1
birdlime 1 1
bituminize 1 1
blame 1 1
blare 1 1
blaspheme 1 1
blaze 1 1
blockade 1 1
blue 1 1
boldface 1 1
bolshevise 1 1
bolshevize 1 1
bombilate 1 1
bombinate 1 1
bone 1 1
boondoggle 1 1
booze 1 1
bore 1 1
botanise 1 1
botanize 1 1
bottle 1 1
bounce 1 1
bowdlerise 1 1
bowdlerize 1 1
brace 1 1
brachiate 1 1
braille 1 1
brake 1 1
brave 1 1
breaststroke 1 1
breathe 1 1
brecciate 1 1
breeze 1 1
bribe 1 1
bridge 1 1
bridle 1 1
brigade 1 1
brine 1 1
bristle 1 1
broadside 1 1
brocade 1 1
bromate 1 1
brominate 1 1
bronze 1 1
browse 1 1
bruise 1 1
brutalise 1 1
brutalize 1 1
bubble 1 1
buckle 1 1
bugle 1 1
bulge 1 1
bulldoze 1 1
bumble 1 1
bundle 1 1
bungle 1 1
burglarise 1 1
burglarize 1 1
burgle 1 1
burlesque 1 1
bustle 1 1
butylate 1 1
cabbage 1 1
cable 1 1
cache 1 1
cachinnate 1 1
cackle 1 1
cadge 1 1
cage 1 1
cajole 1 1
calcimine 1 1
calcine 1 1
calculate 1 1
calibrate 1 1
calumniate 1 1
camouflage 1 1
camphorate 1 1
canalise 1 1
canalize 1 1
candle 1 1
cane 1 1
cannibalise 1 1
cannibalize 1 1
cannonade 1 1
cannulate 1 1
canonise 1 1
canonize 1 1
cantillate 1 1
canulate 1 1
capacitate 1 1
capitalise 1 1
capitalize 1 1
capitulate 1 1
capsulate 1 1
capsulize 1 1
captivate 1 1
capture 1 1
caramelise 1 1
caramelize 1 1
carbonate 1 1
carbonise 1 1
carbonize 1 1
carburise 1 1
carburize 1 1
care 1 1
caricature 1 1
carmine 1 1
carnalize 1 1
carouse 1 1
carve 1 1
cascade 1 1
case 1 1
castigate 1 1
castle 1 1
castrate 1 1
catabolize 1 1
catalogue 1 1
catalyze 1 1
catechise 1 1
catechize 1 1
categorize 1 1
catenate 1 1
catheterise 1 1
catheterize 1 1
catholicize 1 1
cause 1 1
cauterise 1 1
cauterize 1 1
cave 1 1
cease 1 1
cede 1 1
celebrate 1 1
censure 1 1
centralise 1 1
centralize 1 1
centre 1 1
centrifuge 1 1
cerebrate 1 1
certificate 1 1
chafe 1 1
chain-smoke 1 1
challenge 1 1
chance 1 1
change 1 1
channelise 1 1
channelize 1 1
chaperone 1 1
characterise 1 1
characterize 1 1
charge 1 1
chase 1 1
chastise 1 1
checkmate 1 1
chelate 1 1
chicane 1 1
chime 1 1
chine 1 1
chlorinate 1 1
choke 1 1
chortle 1 1
christianise 1 1
christianize 1 1
chrome 1 1
chronicle 1 1
chronologize 1 1
chuckle 1 1
cicatrise 1 1
cicatrize 1 1
circle 1 1
circularise 1 1
circularize 1 1
circulate 1 1
circumcise 1 1
circumnavigate 1 1
circumscribe 1 1
circumvolve 1 1
cite 1 1
citrate 1 1
civilise 1 1
civilize 1 1
cleanse 1 1
clone 1 1
close 1 1
closure 1 1
clothe 1 1
cloture 1 1
coagulate 1 1
coalesce 1 1
cobble 1 1
cocainise 1 1
cocainize 1 1
coddle 1 1
code 1 1
coerce 1 1
cogitate 1 1
cognise 1 1
cognize 1 1
cohere 1 1
coiffure 1 1
coincide 1 1
coinsure 1 1
coke 1 1
collaborate 1 1
collapse 1 1
collate 1 1
collectivise 1 1
collectivize 1 1
collide 1 1
colligate 1 1
collimate 1 1
collocate 1 1
collude 1 1
colonise 1 1
colonize 1 1
colorize 1 1
combine 1 1
commemorate 1 1
commence 1 1
commentate 1 1
commercialise 1 1
commercialize 1 1
comminate 1 1
commiserate 1 1
communalize 1 1
commune 1 1
communicate 1 1
communise 1 1
communize 1 1
commutate 1 1
commute 1 1
compare 1 1
compartmentalise 1 1
compartmentalize 1 1
compassionate 1 1
compensate 1 1
compere 1 1
compete 1 1
compile 1 1
complete 1 1
complicate 1 1
compose 1 1
compromise 1 1
compute 1 1
computerise 1 1
computerize 1 1
concatenate 1 1
concede 1 1
conceive 1 1
concentrate 1 1
concentre 1 1
conceptualise 1 1
conceptualize 1 1
concertise 1 1
concertize 1 1
conciliate 1 1
conclude 1 1
concrete 1 1
condense 1 1
condole 1 1
condone 1 1
conduce 1 1
cone 1 1
confabulate 1 1
confederate 1 1
confide 1 1
configure 1 1
confine 1 1
confiscate 1 1
confuse 1 1
confute 1 1
conge 1 1
conglobate 1 1
conglobe 1 1
conglomerate 1 1
conglutinate  1 1
congratulate 1 1
congregate 1 1
conjecture 1 1
conjugate 1 1
conjure 1 1
connive 1 1
connote 1 1
consecrate 1 1
conserve 1 1
console 1 1
consolidate 1 1
consonate 1 1
conspire 1 1
constellate 1 1
constipate 1 1
constitute 1 1
constitutionalize 1 1
construe 1 1
consubstantiate 1 1
consume 1 1
consummate 1 1
containerise 1 1
containerize 1 1
contaminate 1 1
contemplate 1 1
continue 1 1
contraindicate 1 1
contravene 1 1
contribute 1 1
contrive 1 1
contuse 1 1
convalesce 1 1
convene 1 1
conventionalise 1 1
conventionalize 1 1
converge 1 1
converse 1 1
convince 1 1
convoke 1 1
convolute 1 1
convolve 1 1
convulse 1 1
cooperate 1 1
coordinate 1 1
copulate 1 1
coquette 1 1
core 1 1
cornice 1 1
coronate 1 1
corrade 1 1
correlate 1 1
corroborate 1 1
corrode 1 1
corrugate 1 1
costume 1 1
countenance 1 1
counterbalance 1 1
countermine 1 1
counterpoise 1 1
country-dance 1 1
couple 1 1
course 1 1
cowhide 1 1
crackle 1 1
cradle 1 1
crane 1 1
crape 1 1
crate 1 1
crave 1 1
craze 1 1
crease 1 1
create 1 1
cremate 1 1
crenelate 1 1
crenellate 1 1
creolise 1 1
creolize 1 1
creosote 1 1
crepe 1 1
crepitate 1 1
criminalise 1 1
criminalize 1 1
criminate 1 1
crinkle 1 1
cripple 1 1
criticise 1 1
criticize 1 1
critique 1 1
cross-fertilise 1 1
cross-fertilize 1 1
cross-pollinate 1 1
cruise 1 1
crusade 1 1
crystalize 1 1
crystallize 1 1
crystallise 1 1
cube 1 1
cuddle 1 1
culminate 1 1
cultivate 1 1
cumulate 1 1
curdle 1 1
cure 1 1
curse 1 1
curve 1 1
cybernate 1 1
cycle 1 1
cyclostyle 1 1


# Ei Säännöillä
agree 1 1 agreed agrees agreeing
agreed 1 6  agree
agrees 1 9 agree
agreeing 3 10 agree

ante 1 1 anteed anted antes anteing
anteed 1 6 ante
anted 1 6 ante
antes 1 9 ante
anteing 3 10 ante

ape 1 1 aped apes apeing apeing
aped 1 6 ape
apes 1 9 ape
apeing 3 10 ape
aping 3 10 ape

applique 1 1 appliqued appliques appliqueing
appliqued 1 6 applique
appliques 1 9 applique
appliqueing 3 10 applique

bereave 1 1 bereaved bereft bereaves bereaving
bereft 1 6 bereave
bereaved 1 6 bereave
bereaves 1 9 bereave
bereaving 3 10 bereave

birdie 1 1 birdied birdies birdieing
birdied 1 6 birdie
birdies 1 9 birdie
birdieing 3 10 birdie

boogie 1 1 boogied boogies boogieing
boogied 1 6 boogie
boogies 1 9 boogie
boogieing 3 10 boogie

caddie 1 1 caddied caddies caddying
caddied 1 6 caddie
caddies 1 9 caddie
caddying 3 10 caddie

canoe 1 1 canoed canoes canoeing
canoed 1 6 canoe
canoes 1 9 canoe
canoeing 3 10 canoe

chasse 1 1 chassed chasses chasseing
chassed 1 6 chasse
chasses 1 9 chasse
chasseing 3 10 chasse

chide 1 1 chided chid chidden chides chiding
chided 1 6 chide
chid 1 2 chide
chidden 1 4 chide
chides 1 9 chide
chiding 3 10 chide

cleave 1 1 cleaved clove cleft cloven cleaves cleaving
cleaved 1 6 cleave
clove 1 2 cleave
cloven 1 4 cleave
cleft 1 6 cleave
cleaves 1 9 cleave
cleaving 3 10 cleave

cue 1 1 cued cues cueing
cued 1 6 cue
cues 1 9 cue
cueing 3 10 cue

# Epäsäännölliset
